Common,Scientific,Priority
Barbed goatgrass,Aegilops triuncialis,1
Carolina horsenettle,Solanum carolinense,1
French broom,Genista monspessulana,1
Garlic mustard,Alliaria petiolata,1
Jointed goatgrass,Aegilops cylindrical,1
Leafy spurge,Euphorbia virgatae,1
Mediterranean sage,Salvia aethiopis,1
Medusahead,Taeniatherum caput-medusae,1
Myrtle spurge,Euphorbia myrsinites,1
Oblong spurge,Euphorbia oblongata,1
Purple starthistle,Centaurea calcitrap,1
Spanish broom,Spartium junceum,1
Squarrose knapweed,Centaurea virgata  ,1
Stinkwort,Dittrichia graveolens,1
Tamarisk,Tamarix spp.,1
Black locust,Robinia pseudoacacia,2
Bouncing Bet,Saponaria officinalis,2
Canada thistle,Cirsium arvense,2
Diffuse knapweed,Centaurea diffusa,2
Dyer’s woad,Isatis tinctoria,2
Hairy whitetop,Lepidium appelianum,2
Whitetop,Lepidium draba,2
Himalayan blackberry,Rubus armeniacus,2
Hoary alyssum,Berteroa incana,2
Hoary cress,Cardaria species,2
Musk thistle,Carduus nutans,2
Poison hemlock,Conium maculatum,2
Purple loosestrife,Lythrum salicaria,2
Reed canarygrass,Phalaris arundinacea,2
Rush skeletonweed,Chondrilla juncea,2
Russian knapweed,Acroptilon repens,2
Russian thistle,Salsola tragus  ,2
Spotted knapweed,Centaurea stoebe ssp. Micranthos,2
Sulfur cinquefoil,Potentilla recta,2
Teasel,Dipsacus fullonum,2
Tree of Heaven,Ailanthus altissima  ,2
Yellow starthistle,Centaurea solstitialis,2
Puncturevine,Tribulus terrestris,2
Scotch thistle,Onopordum acanthium,2
Bull thistle,Cirsium vulgare,3
Scotch broom,Cytisus scoparius,3
Common bindweed,Convolvulus arvensis,3
Dalmatian toadflax,Linaria dalmatica,3
Everlasting peavine,Lathyrus latifolius,3
Klamathweed,Hypericum perforatum,3
Perennial pepperweed,Lepidium latifolium,3
Yellow toadflax,Linaria vulgaris,3
Cheatgrass,Bromus tectorum,4
False salsify,Tragopogon dubius,4
Oxeye daisy,Leucanthemum vulgare,4
Quackgrass,Elymus repens,4
White sweetclover,Melilotus alba,4
Wooly mullein,Verbascum thapsus,4
Yellow sweetclover,Melilotus officinalis,4
Common mullein,Verbascum thapsus,4
Common st. johnswort,Hypericum perforatum,3
Nodding plumeless thistle,Carduus nutans,2
Sweetclover,Melilotus,4
Broadleaf Pepperweed,Lepidium latifolium,3
Field bindweed,Convolvulus arvensis,3
Sulphur cinquefoil,Potentilla recta,2
Broadleaved pepperweed,Lepidium latifolium,3
Reed canary grass,Phalaris arundinacea,2
Salt cedar,Tamarix spp.,1
none,,0
Scotch cottonthistle,Onopordum acanthium,2
